	control_1	control_2	control_3	control_4	opg_1	opg_2	opg_3	opg_4	gtdup_1	gtdup_2	gtdup_3
ENSG00000171033	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260398	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286675	1	0	0	0	0	0	2	2	0	0	0
ENSG00000104427	22	7	14	7	21	16	14	19	27	12	21
ENSG00000104432	11	8	10	14	6	9	5	3	11	9	13
ENSG00000254352	1	0	1	0	2	0	0	1	2	0	0
ENSG00000253919	1	0	0	0	1	2	0	0	1	0	1
ENSG00000285744	2	0	2	0	13	1	0	0	8	2	6
ENSG00000261618	0	0	0	0	4	2	1	0	7	0	11
ENSG00000253659	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253391	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240540	0	0	0	0	0	0	0	0	0	0	0
ENSG00000104435	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287052	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164683	0	0	0	1	0	0	0	0	0	1	0
ENSG00000272138	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249328	0	0	0	0	1	0	0	0	0	0	1
ENSG00000238884	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285758	0	0	5	0	1	2	2	0	5	6	9
ENSG00000147586	7	13	17	13	15	16	23	15	16	13	23
ENSG00000276418	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272518	1	1	5	3	4	1	6	3	6	5	10
ENSG00000272264	1	0	1	2	2	2	5	0	2	1	0
ENSG00000076554	9	13	22	13	13	12	28	20	30	24	42
ENSG00000254205	0	0	0	0	1	0	0	1	0	2	3
ENSG00000241550	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265588	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241746	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253238	0	0	0	0	0	0	0	0	0	0	1
ENSG00000213791	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206649	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253237	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252884	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251867	24	11	15	12	10	29	36	21	28	25	23
ENSG00000277604	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205189	100	62	87	71	58	67	75	86	95	110	119
ENSG00000254162	6	2	8	8	4	11	3	2	13	10	8
ENSG00000260317	0	0	0	0	0	1	0	0	0	0	0
ENSG00000188856	1	2	3	2	2	0	0	0	0	1	1
ENSG00000252057	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253760	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223327	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254181	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243424	0	1	0	0	0	0	0	0	0	0	0
ENSG00000164684	1	1	0	0	4	0	3	1	3	0	1
ENSG00000254331	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212429	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243951	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253516	0	0	0	0	1	0	1	0	0	0	0
ENSG00000286763	0	0	0	0	0	0	0	0	0	0	0
ENSG00000076641	344	309	491	358	364	393	344	358	477	414	505
ENSG00000254060	0	2	5	5	5	8	3	1	5	4	7
ENSG00000254177	1	1	5	1	10	4	1	1	7	10	11
ENSG00000253214	5	4	7	4	7	5	7	5	7	3	21
ENSG00000254014	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253677	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272425	0	0	0	0	2	0	0	0	0	0	0
ENSG00000254027	17	8	25	23	26	27	24	17	31	40	36
ENSG00000164687	17	15	45	28	27	40	23	38	57	52	55
ENSG00000253859	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147588	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205186	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170323	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253374	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237264	0	0	1	0	2	0	0	0	0	0	0
ENSG00000197416	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251521	0	0	2	0	0	0	0	0	0	0	0
ENSG00000254151	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240427	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205184	0	0	0	0	0	0	0	0	0	0	0
ENSG00000133731	13	6	20	19	16	25	29	19	31	27	44
ENSG00000253598	0	2	0	2	0	0	0	0	0	2	0
ENSG00000280193	0	0	3	2	2	1	1	0	0	2	3
ENSG00000104231	29	23	41	33	27	24	25	29	57	44	46
ENSG00000164695	1	0	0	1	1	2	0	3	1	3	6
ENSG00000253334	1	0	0	0	1	1	0	0	3	2	5
ENSG00000104497	5	5	13	4	16	4	10	6	15	5	14
ENSG00000231942	1	0	0	0	1	0	0	1	1	2	0
ENSG00000254689	1	1	0	2	2	0	0	1	1	3	6
ENSG00000254394	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254123	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206228	2	1	1	0	0	0	0	0	2	0	2
ENSG00000253503	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253836	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253581	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254189	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253423	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274116	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253898	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254202	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254195	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253362	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184672	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206701	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253137	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248978	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254212	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203413	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253655	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253283	0	0	0	0	0	0	0	0	0	0	0
ENSG00000133739	4	7	3	5	13	8	16	10	17	13	16
ENSG00000260493	0	0	0	0	0	0	0	0	0	1	0
ENSG00000133740	7	3	7	10	12	9	12	8	15	12	18
ENSG00000254208	0	0	0	1	0	2	2	1	6	2	2
ENSG00000176731	1	1	15	8	11	13	10	7	11	15	27
ENSG00000185015	10	4	8	3	3	10	10	5	9	8	6
ENSG00000258256	1	2	1	3	0	1	1	2	4	1	1
ENSG00000257962	0	0	0	0	0	0	0	0	0	0	0
ENSG00000133742	0	0	0	0	0	2	1	0	1	0	1
ENSG00000164879	0	1	0	1	1	0	0	0	2	0	2
ENSG00000253549	0	2	3	5	2	7	2	1	8	2	3
ENSG00000104267	14	12	38	15	23	18	12	12	11	14	15
ENSG00000254380	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253680	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270971	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273567	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205176	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276006	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275928	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276540	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271381	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276998	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274343	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270416	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277436	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277422	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253154	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285768	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287927	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147614	18	6	15	8	34	26	16	12	22	14	23
ENSG00000227753	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243761	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147613	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253675	15	8	8	5	15	12	6	6	5	10	6
ENSG00000253699	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164893	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254231	12	8	10	8	23	9	14	14	11	16	18
ENSG00000123124	306	197	228	167	256	276	234	243	259	258	284
ENSG00000176623	45	47	72	56	99	91	72	55	109	110	134
ENSG00000250569	6	7	17	12	8	11	6	11	18	14	12
ENSG00000254088	3	4	6	3	16	4	6	12	4	10	10
ENSG00000085719	34	20	74	32	53	50	56	36	75	81	100
ENSG00000170289	0	0	0	0	0	0	0	0	0	2	0
ENSG00000253292	0	0	1	0	0	0	0	0	0	0	0
ENSG00000205333	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233915	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254115	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253778	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253568	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176571	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253500	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253401	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251563	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254376	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273978	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176566	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253171	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156103	0	1	0	0	0	0	0	0	0	0	0
ENSG00000253553	0	0	0	0	0	0	0	0	0	0	2
ENSG00000251904	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250962	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271156	0	0	0	0	0	0	0	0	0	0	0
ENSG00000286984	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253621	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248231	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251136	34	20	47	25	36	36	32	26	40	49	49
ENSG00000104312	30	9	37	33	32	32	27	27	31	34	40
ENSG00000253349	0	0	1	0	0	0	0	0	0	0	0
ENSG00000275103	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207359	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164823	30	12	42	21	42	25	30	30	53	35	74
ENSG00000104320	48	37	63	30	83	52	54	50	84	97	108
ENSG00000104325	33	11	36	24	42	58	26	23	34	45	40
ENSG00000104327	0	0	0	0	4	1	1	0	5	0	1
ENSG00000254180	0	0	0	0	0	0	1	0	1	1	1
ENSG00000253394	0	0	0	0	1	0	0	0	1	0	0
ENSG00000199354	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253799	0	0	0	0	2	0	0	0	0	0	1
ENSG00000180694	27	18	36	27	43	35	28	19	28	41	33
ENSG00000246792	0	0	0	0	0	0	1	0	0	0	0
ENSG00000254182	0	0	0	0	0	0	0	0	0	0	0
ENSG00000123119	1	2	1	0	3	2	1	1	1	1	2
ENSG00000254251	0	0	0	0	3	0	0	0	0	0	0
ENSG00000253250	5	2	4	2	4	2	4	4	5	1	3
ENSG00000155099	50	34	47	54	56	51	51	36	62	49	62
ENSG00000253358	7	7	13	6	15	8	8	5	19	10	16
ENSG00000254219	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253738	62	57	64	54	48	46	57	41	41	51	62
ENSG00000155100	102	95	114	78	75	90	101	89	108	119	120
ENSG00000214954	10	9	6	6	18	12	9	11	25	14	13
ENSG00000253525	2	1	0	0	2	1	3	1	1	5	1
ENSG00000266194	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147606	2	1	4	4	6	1	4	4	2	3	4
ENSG00000253901	0	0	0	0	0	0	0	0	0	0	0
ENSG00000200151	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271202	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229182	0	0	0	0	0	0	0	0	0	0	0
ENSG00000079102	0	0	0	1	3	0	2	1	1	8	0
ENSG00000253576	0	0	0	0	0	0	0	0	0	1	0
ENSG00000233778	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253118	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253682	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253749	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253634	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253177	8	1	3	0	0	1	9	7	31	13	17
ENSG00000288005	0	0	0	0	0	1	0	0	0	0	0
ENSG00000248858	0	0	1	0	5	1	2	0	4	3	3
ENSG00000254020	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253577	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253197	0	2	1	0	3	1	2	0	8	1	3
ENSG00000205133	13	4	13	13	14	10	5	6	12	18	29
ENSG00000251347	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277063	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279847	0	0	0	0	0	0	0	0	0	0	0
ENSG00000246662	0	0	1	0	0	0	0	0	1	0	0
ENSG00000253960	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268080	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254089	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222416	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253781	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188343	2	2	20	8	32	15	16	9	24	22	46
ENSG00000271971	0	0	0	1	0	1	0	0	2	2	1
ENSG00000253854	13	1	5	10	16	11	5	4	16	8	5
ENSG00000183808	400	306	277	268	176	201	231	223	256	208	216
ENSG00000253722	43	40	34	31	21	15	19	33	40	28	30
ENSG00000279331	10	18	22	12	13	14	23	9	28	14	25
ENSG00000253848	0	0	0	0	0	0	0	0	0	1	0
ENSG00000164953	15	8	4	4	6	7	14	7	18	9	12
ENSG00000254057	0	0	0	0	0	0	0	1	0	0	0
ENSG00000254387	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164951	38	31	49	47	58	61	54	42	58	59	69
ENSG00000264448	0	3	1	1	2	2	1	2	1	2	4
ENSG00000284288	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251234	0	0	0	0	0	0	0	0	0	2	1
ENSG00000240509	0	0	0	0	1	0	0	0	2	0	0
ENSG00000275386	0	0	0	0	0	0	0	0	0	0	1
ENSG00000253585	0	0	0	0	0	0	0	0	0	0	0
ENSG00000079112	0	0	0	0	0	0	0	0	0	0	0
ENSG00000249510	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164949	1	0	0	0	0	0	0	0	0	0	0
ENSG00000244217	0	0	0	0	0	1	0	0	1	0	0
ENSG00000197275	2	4	3	4	4	6	6	4	3	6	9
ENSG00000265817	2	6	8	6	16	9	7	3	13	8	9
ENSG00000164944	101	76	108	72	105	104	107	78	133	135	145
ENSG00000254315	0	0	0	2	0	0	0	0	0	0	4
ENSG00000253704	4	0	0	1	3	2	2	2	6	1	0
ENSG00000253175	0	0	0	1	1	0	1	0	0	1	1
ENSG00000254190	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254283	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261437	0	0	0	0	0	0	0	0	0	0	0
ENSG00000104413	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274701	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241003	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253429	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199701	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156162	57	38	58	43	90	82	49	63	106	80	94
ENSG00000254307	21	20	20	18	32	23	21	19	45	40	40
ENSG00000164941	151	114	120	144	129	151	150	146	151	168	128
ENSG00000175305	6	8	12	6	24	14	18	10	15	30	14
ENSG00000272509	1	0	0	1	2	2	1	0	1	4	1
ENSG00000243979	0	3	2	0	2	0	1	0	0	1	0
ENSG00000156170	30	29	41	32	35	30	43	36	62	44	58
ENSG00000164938	146	78	143	66	234	188	176	106	155	152	249
ENSG00000253878	39	20	21	16	27	23	33	22	17	13	32
ENSG00000253528	0	1	1	3	4	2	2	1	0	2	4
ENSG00000287322	4	1	2	1	8	1	2	1	5	7	6
ENSG00000200525	0	0	0	0	0	0	0	0	1	1	3
ENSG00000245080	0	0	1	0	0	0	0	0	0	3	3
ENSG00000254248	0	0	0	0	0	0	0	0	1	0	1
ENSG00000284147	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283522	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175895	29	20	36	28	29	20	25	25	27	25	43
ENSG00000253773	3	3	7	3	2	1	3	3	2	3	4
ENSG00000253351	0	0	1	2	3	1	0	0	4	0	0
ENSG00000156172	23	18	19	17	19	21	19	20	28	31	33
ENSG00000253945	0	0	1	0	0	1	0	0	0	0	0
ENSG00000253872	0	0	0	0	1	1	0	0	0	0	2
ENSG00000202112	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254079	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248762	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183663	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271349	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270131	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156466	0	1	0	0	0	0	0	0	0	0	2
ENSG00000156467	28	14	107	20	40	44	44	31	46	60	84
ENSG00000254224	1	0	0	5	0	7	2	0	1	1	6
ENSG00000156469	17	23	24	11	15	25	22	15	22	16	22
ENSG00000156471	92	64	167	98	156	114	98	76	155	166	222
ENSG00000199732	0	0	0	0	0	0	0	0	0	0	1
ENSG00000253105	1	0	0	0	0	0	0	0	0	1	0
ENSG00000202095	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169439	43	27	34	27	65	73	46	19	45	23	90
ENSG00000104324	157	94	86	52	97	112	88	96	148	94	178
ENSG00000272249	0	0	0	0	1	1	0	0	1	0	2
ENSG00000270077	0	0	2	2	3	0	6	3	8	3	3
ENSG00000260640	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180543	0	0	0	0	0	0	0	0	1	0	0
ENSG00000207215	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213750	0	0	1	0	0	1	0	0	0	0	0
ENSG00000287654	0	0	2	0	0	0	2	0	2	0	0
ENSG00000147649	366	410	568	550	494	541	529	426	631	840	681
ENSG00000202399	0	0	0	0	0	0	0	0	0	0	0
ENSG00000104341	2	2	16	5	7	14	6	3	13	22	23
ENSG00000270682	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270861	0	0	0	0	0	0	0	0	0	0	1
ENSG00000253639	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243504	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132561	2	2	2	1	7	2	0	3	4	4	8
ENSG00000156482	68	60	171	83	83	118	115	90	123	229	276
ENSG00000245970	53	40	105	56	62	83	56	52	76	147	124
ENSG00000207067	0	0	0	0	0	1	0	0	0	0	4
ENSG00000252755	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177459	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132541	3	2	5	2	7	10	1	0	3	4	2
ENSG00000104356	28	37	37	39	25	39	28	31	41	58	34
ENSG00000104361	23	14	32	18	32	32	41	52	58	72	76
ENSG00000252558	0	0	0	0	0	0	0	0	0	0	0
ENSG00000104375	69	56	63	62	57	72	60	66	73	79	80
ENSG00000278914	0	0	1	0	0	0	0	1	0	0	0
ENSG00000253468	0	2	0	0	1	0	0	0	1	0	0
ENSG00000156486	6	5	11	5	10	16	5	7	6	1	4
ENSG00000272321	1	2	0	2	4	3	2	5	4	4	2
ENSG00000207378	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253911	0	0	1	0	0	0	0	1	1	0	2
ENSG00000254112	1	0	1	0	2	0	0	1	1	0	3
ENSG00000240870	0	0	0	0	1	0	0	0	0	2	2
ENSG00000253415	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254312	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223281	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271930	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164920	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253948	41	43	28	35	30	40	24	46	40	31	36
ENSG00000229625	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253180	0	2	3	4	0	2	0	2	0	1	1
ENSG00000132549	1148	805	908	770	829	1001	902	891	1179	1118	1017
ENSG00000253562	0	0	4	0	2	1	1	0	3	1	4
ENSG00000253532	0	0	1	0	4	0	1	5	1	1	2
ENSG00000236583	3	4	6	8	4	18	15	7	19	9	21
ENSG00000237704	0	0	2	2	8	7	2	2	9	9	10
ENSG00000225017	1	1	6	5	5	5	2	4	14	8	12
ENSG00000206699	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207804	0	0	0	0	0	0	0	0	0	1	1
ENSG00000216069	0	0	0	0	0	0	0	0	0	1	0
ENSG00000243254	0	0	0	0	1	0	1	0	1	2	8
ENSG00000235683	38	30	21	18	10	24	21	17	23	13	10
ENSG00000253539	0	0	2	0	6	14	0	2	2	2	6
ENSG00000253912	0	0	0	1	0	0	5	2	4	2	6
ENSG00000164919	15	12	34	10	20	25	23	16	39	31	41
ENSG00000287952	3	4	7	3	10	7	6	5	8	6	7
ENSG00000132554	1	0	0	0	0	1	0	0	0	0	0
ENSG00000212414	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221753	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156509	6	3	8	0	4	6	3	1	4	1	5
ENSG00000147669	4	3	5	1	7	5	7	3	6	7	5
ENSG00000104450	15	8	35	12	26	31	19	13	40	27	29
ENSG00000202310	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253299	0	0	0	0	0	0	0	0	0	0	0
ENSG00000199667	0	0	1	0	0	0	0	0	0	0	0
ENSG00000034677	106	74	167	96	167	158	100	98	160	115	185
ENSG00000253217	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253824	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265599	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253842	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253666	0	0	0	0	0	0	0	1	0	0	0
ENSG00000254364	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186106	27	13	24	23	28	17	19	23	31	37	34
ENSG00000251013	0	0	0	0	0	0	0	0	0	1	0
ENSG00000174226	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253740	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252764	0	0	0	0	0	0	0	0	0	0	0
ENSG00000070756	1014	876	2768	1267	1239	1554	1438	1131	1608	1813	3222
ENSG00000284570	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221527	0	0	0	0	0	0	0	0	0	0	0
ENSG00000202001	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242399	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222795	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212994	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275041	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260368	2	2	2	1	2	0	1	1	1	0	2
ENSG00000164924	179	155	337	158	210	252	205	207	234	284	513
ENSG00000242315	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248599	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253395	0	0	0	0	0	0	0	1	0	0	0
ENSG00000253355	0	0	0	0	0	0	0	0	0	0	0
ENSG00000202360	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253737	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261087	1	0	3	0	8	2	3	0	3	1	1
ENSG00000120963	39	36	99	61	65	75	50	42	80	56	91
ENSG00000271882	0	0	0	0	1	0	0	0	0	0	0
ENSG00000253942	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253679	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287479	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253282	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239115	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271560	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228224	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254063	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253644	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239211	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254084	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254024	0	0	0	0	0	0	0	0	0	0	0
ENSG00000083307	0	0	0	0	0	0	0	1	0	0	0
ENSG00000253991	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253153	0	0	0	0	0	0	0	0	0	0	0
ENSG00000104490	0	0	0	0	0	0	0	0	0	0	1
ENSG00000253629	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238372	0	0	0	0	0	0	0	0	0	0	0
ENSG00000282989	0	0	1	0	0	0	0	0	0	0	0
ENSG00000266756	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254492	0	0	0	0	0	0	0	0	0	0	0
ENSG00000048392	85	46	74	53	73	84	72	67	77	59	128
ENSG00000246263	23	16	19	11	26	24	27	9	25	22	29
ENSG00000253328	1	0	0	0	0	0	0	0	0	1	0
ENSG00000104517	810	514	588	469	576	687	606	682	851	746	699
ENSG00000272037	29	17	22	11	18	16	13	20	31	25	17
ENSG00000253923	0	0	0	0	0	0	1	2	0	2	0
ENSG00000221387	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271612	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240724	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253633	0	0	1	0	0	0	0	0	0	0	0
ENSG00000252593	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155087	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253382	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155090	28	36	38	19	25	36	49	37	26	48	79
ENSG00000283959	2	1	2	4	1	5	2	4	4	1	6
ENSG00000250684	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253669	1	1	2	0	1	1	0	0	0	1	0
ENSG00000155096	102	106	195	87	174	164	155	136	169	204	335
ENSG00000253385	6	9	2	6	11	9	12	17	11	32	8
ENSG00000253320	15	7	55	22	39	52	39	37	54	47	90
ENSG00000253263	0	2	3	1	0	2	0	0	0	1	0
ENSG00000244052	0	0	0	0	0	0	0	0	0	0	0
ENSG00000201216	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253663	0	0	1	1	1	1	0	0	0	0	6
ENSG00000254236	28	20	37	17	19	31	17	29	29	26	31
ENSG00000155097	116	61	153	71	163	153	117	70	197	141	247
ENSG00000253795	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253556	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253977	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250929	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236939	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164929	0	0	0	0	0	0	0	0	0	0	0
ENSG00000247081	0	0	0	0	0	1	2	1	0	0	1
ENSG00000265657	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253851	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164930	0	1	2	0	3	2	1	0	1	1	2
ENSG00000286337	0	0	0	0	0	0	0	0	2	0	0
ENSG00000164932	0	1	4	5	2	1	2	0	4	7	4
ENSG00000266289	0	1	0	0	2	0	0	0	1	1	1
